SONIKA	ಸೋನಿಕಾ
SAHAJ	ಸಹಜ್
BELLSOUTH	ಬೆಲ್ ಸೌತ್
BEGAM AKHTAR	ಬೇಗಮ್ ಅಖ್ತರ್
DAULATABAD	ದೌಲತಾಬಾದ್
CHILE	ಚಿಲಿ
SHEFAALIKAA	ಶಿಫಾಲಿಕ
SHEFAALIKAA	ಶಿಫಾಲಿಕಾ
WYLIE	ವೈಲಿ
LITHIUM	ಲೀಥಿಯಂ
RESHAM	ರೇಶಮ್
GRACE LUTHERAN	ಗ್ರೇಸ್ ತುಥೆರನ್
GWENLLIAN	ಗ್ವೆನ್ಲಿಯನ್
COLUM	ಕೋಲಂ
ALISA	ಅಲಿಸಾ
GHUNGROO KI AWAZ	ಘುಂಗರೂ ಕಿ ಆವಾಜ್
Paarijaat	ಪಾರಿಜಾತ್
EL-SARAYA	ಅಲ್-ಸರಯಾ
NIGGLY	ನಿಗ್ಲಿ
ABDUL MAJID	ಅಬ್ದುಲ್ ಮಜೀದ್
ALMA	ಅಲ್ಮಾ
ABDUS SABUR	ಅಬ್ದುಸ್ ಸಬೂರ್
Layar	ಲಯಾರ್
SUSANE	ಸುಸೇನ್
AABHIJAT	ಆಭಿಜಾತ್
PASSING SHOW	ಪಾಸ್ಸಿಂಗ್ ಶೋ
VAGDEVI	ವಾಗ್‌ದೇವಿ
Lagam	ಲಗಾಮ್
ABHISYANTA	ಅಭಿಷ್ಯಂತ
CYNARA	ಸಿನಾರಾ
JOHN F. KENNEDY	ಜಾನ್ ಎಫ್. ಕೆನಡಿ
ABDUR RAHAMAN	ಅಬ್ದುರ್ ರಹಮಾನ್
GANESHGANJ	ಗಣೇಶ್‌ಗಂಜ್
ANOU BOUSSOUIL	ಅನೌ ಬೌಸೋಯಿಲ್
ABDUL MUHAAYAMIN	ಅಬ್ದುಲ್ ಮುಹಾಯಮೀನ್
PEAK INTERNATIONAL LIMITED	ಪೀಕ್ ಇಂಟರ್ನ್ಯಾಷನಲ್ ಲಿಮಿಟೆಡ್
NIKUNJA	ನಿಕುಂಜಾ
SUVARNAPRABHA	ಸುವರ್ಣಪ್ರಭಾ
BORDHAL	ಬೊರಧಲ್
GOPAL SHARMA	ಗೋಪಾಲ್ ಶರ್ಮಾ
TAMBE	ತಾಂಬೆ
BASI KIRATPUR	ಬಸಿ ಕಿರತ್‌ಪುರ್
VISHVAJAYEE	ವಿಶ್ವಜಯ
SAAJAN BINA SUHAGAN	ಸಾಜನ್ ಬಿನಾ ಸುಹಾಗನ್
MOHAMMAD KHALIL	ಮೊಹಮ್ಮದ್ ಖಲೀಲ್
EASTBOURNE REDOUBT	ಈಸ್ಟ್ ಬೌರ್ನೆ ರಿಡೌಟ್
UNIVERSITY OF CANBERRA	ಯುನಿವರ್ಸಿಟಿ ಆಫ್ ಕ್ಯಾನ್‌ಬೆರಾ
ITURAN LOCATION AND CONTROL	ಇಟುರಾನ್ ಲೊಕೇಶನ್ ಅಂಡ್ ಕಂಟ್ರೋಲ್
Abaraar	ಅಬರಾರ್
BAGHDAD KA JADU	ಬಗ್ದಾದ್ ಕಾ ಜಾದೂ
ZAYNAB	ಜೈನಬ್
JAMSHEDPUR	ಜಂಷೆಡ್ಪುರ್
CORAL	ಕೋರಲ್
Maulaanaa	ಮೌಲಾನಾ
PAUL STRANG	ಪೌಲ್ ಸ್ಟ್ರಾಂಗ್
SUDHAKAR	ಸುಧಾಕರ್
GAJENDRA	ಗಜೇಂದ್ರ
KANCH KI GUDIYA	ಕಾಂಚ್ ಕಿ ಗುಡಿಯಾ
MEHAL	ಮೆಹಲ್
URIAN	ಯ್ಯುರಿಯನ್
RAVINDRA	ರವೀಂದ್ರ
EDE	ಎಡಿ
GIVERNY	ಗಿವೆರ್ನೀ
JAKHAD	ಜಾಖಡ್
GUDIVADA	ಗುದಿವಾಡಾ
Wolseley	ವೋಲ್ಸೆಲೆ
DAMIEN MARTYN	ಡಾಮಿಯನ್ ಮಾರ್ಟಿನ್
Caroun	ಕೆರೋನ್
LAKEEREN	ಲಕೀರೇ
ABHUR	ಅಭುರ್
MANNERS	ಮ್ಯಾನರ್ಸ್
SANJULA	ಸಂಜುಲಾ
SAPNON KA SAUDAGAR	ಸಪನೋ ಕಾ ಸಾಗರ್
JAYANTIKA	ಜಯಂತಿಕ
KIRAN MORE	ಕಿರಣ್ ಮೋರೆ
BAAZ BAHADUR	ಬಾಝ್ ಬಹಾದೂರ್
BIBHAVASU	ಬಿಭಾವಸು
PAAVGI	ಪಾವ್‌ಗೀ
MURSAL	ಮುರ್ಸಲ್
AMALIA	ಅಮಾಲಿಯಾ
RANGILA RATAN	ರಂಗೀಲಾ ರತನ್
KHUNAYS	ಖುನೇಸ್
Kharqa	ಖಾರ್ಕಾ
DAURAI	ದೌರಾಯ್
BU ALI SHAH QALANDAR	ಬು ಅಲಿ ಶಾ ಖಲಂದರ್
KALYAN	ಕಲ್ಯಾಣ್
ALDONA	ಅಲ್ಡೋನಾ
PUNYABRAT	ಪುಣ್ಯಬ್ರತ್
MADANAPAAL	ಮದನಪಾಲ
DO PREMEE	ದೋ ಪ್ರೇಮೀ
SCARLETT	ಸ್ಕಾರ್ಲೆಟ್
ANUSHKAA	ಅನುಷ್ಕಾ
MEHENDALE	ಮೆಹೆಂದಲೆ
EK KHILARI BAWAN PATTEY	ಏಕ್ ಖಿಲಾಡಿ ಬಾವನ್ ಪತ್ತೆ
SKATING	ಸ್ಕೇಟಿಂಗ್
NAYAN MONGIA	ನಯನ್ ಮೋಗಿಂಯಾ
MCPHAIL	ಮ್ಯಾಕ್‌ಫಾಯ್ಲ್
CIROCCO	ಸಿರೋಕೋ
DENISE	ಡೆನೈಸ್
RIVER OF LIFE FAMILY	ರಿವರ್ ಆಫ್ ಲೈಫ್ ಫ್ಯಾಮಿಲಿ
SAINATH	ಸಾಯಿನಾಥ್
HAJAR	ಹಜರ್
UJAALAA	ಉಜಾಲಾ
KASAM DHANDE KI	ಕಸಮ್ ಧಂಧೆ ಕಿ
PHILO WALLACE	ಫಿಲೋ ವ್ಯಾಲೇಸ್
BILWMANGAL	ಬಿಲ್ವಮಂಗಲ್
SOURABH	ಸೌರಭ್
Urdhvareshe	ಊರ್ಧ್ವರೇಶೆ
JOHN LONG	ಜಾನ್‌ಲಾಂಗ್
AMIT MISHRA	ಅಮಿತ್ ಮಿಶ್ರಾ
DICHPALLI	ದಿಚಪಲ್ಲಿ
KAMAKSHI AMMAN	ಕಾಮಾಕ್ಷಿ ಅಮ್ಮನ್
JAIRAJ	ಜಯರಾಜ್
MICHAEL HUSSEY	ಮೈಕೇಲ್ ಹಸ್ಸೆ
ROOP KAHANI	ರೂಪ್ ಕಹಾನಿ
ADINAARAYAN	ಆದಿನಾರಾಯಣ
GURUDWARA BIBHOR SAHIB	ಗುರುದ್ವಾರ ಬಿಭೋರ್ ಸಾಹಿಬ್
Swapneel	ಸ್ವಪ್ನೀಲ್
SINGAPORE	ಸಿಂಗಾಪುರ್
JACLYN ELDERS	ಜ್ಯಾಕ್ಲಿನ್ ಎಲ್ಡರ್ಸ್
SUVARNA	ಸುವರ್ಣಾ
JENNICA	ಜೆನೀಕಾ
RASHTRAVEER SHIVAJI	ರಾಷ್ಟ್ರವೀರ್ ಶಿವಾಜಿ
SEETAASARAN	ಸೀತಾಶರಣ್
NIGHT IN LONDON	ನೈಟ್ ಇನ್ ಲಂಡನ್
KETANA	ಕೇತನಾ
Jashpur	ಜಷ್ಪುರ
EK SAAL	ಏಕ್ ಸಾಲ್
CARLTON	ಕಾರ್ಲ್ಟನ್
RAY ILLINGWORTH	ರೇ ಇಲಿಂಗ್‌ವರ್ಥ್
RAY ILLINGWORTH	ರೇ ಇಲ್ಲಿಂಗ್ ವರ್ತ್
VEDEE	ವೇದೀ
CHODIALA	ಚೋಡಿಯಾಲಾ
DAAG	ದಾಗ್
Muzakkir	ಮುಝಾಕ್ಕಿರ್
NAGALAND	ನಾಗಾಲ್ಯಾಂಡ್
CASTROL	ಕ್ಯಾಸ್ಟ್ರಾಲ್
CARDIFF UNIVERSITY	ಕಾರ್ಡಿಫ್ ಯುನಿವರ್ಸಿಟಿ
TIRUPATISARAM	ತಿರುಪತಿಸಾರಂ
ROENTGENIUM	ರೋಂಟ್‌ಜೀನಿಯಂ
KEVINA	ಕೆವಿನಾ
ESSAR STEEL	ಎಸ್ಸಾರ್ ಸ್ಟೀಲ್
MEYRICK PRINGLE	ಮೆರಿಕ್ ಪ್ರಿಂಗ್ಲ್
APPOLLO	ಅಪೋಲೋ
Fay	ಫೇ
ZAYN	ಜೆನ್
Nighojkar	ನಿಘೋಜಕರ್
COMMON BETE	ಕಾಮನ್ ಬೀಟ್
Caitir	ಕೇತಿರ್
ASTATINE	ಆಸ್ಟಾಟಿನ್
DHANRAJ	ಧನರಾಜ್
JAGTAP	ಜಗತಪ್
DO RAASTE	ದೋ ರಾಸ್ತೆ
Dulcina	ಡಲ್ಕಿನಾ
CHUCK NORRIS	ಚುಕ್ ನೋರಿಸ್
BOMMIDI	ಬೊಮ್ಮಿಡಿ
PIYA GHAR AJA	ಪಿಯಾ ಕಾ ಘರ್
AMATYA	ಅಮಾತ್ಯ
MANIKUNTALA	ಮಣಿಕುಂತಲಾ
BANK MANAGER	ಬ್ಯಾಂಕ್ ಮೇನೇಜರ್
NEHAL	ನಿಹಾಲ್
NIGHT IN CALCUTTA	ನೈಟ್ ಇನ್ ಕಲಕತ್ತಾ
KORYAK	ಕೊರ್ಯಾಕ್
SELENE	ಸೆಲೀನ್
FLOYD	ಫ್ಲಾಯ್ಡ್
MARK GREATBATCH	ಮಾರ್ಕ್ ಗ್ರೇಟ್‌ಬ್ಯಾಚ್
TONYA	ಟೋನ್ಯ
MARK VERMEULEN	ಮಾರ್ಕ್ ವರ್ಮ್ಯೂಲನ್
CONTINENTAL	ಕಾಂಟಿನೆಂಟಲ್
SHALINI	ಶಾಲಿನಿ
RISA	ರೀಜಾ
ANOKHA MILAN	ಅನೋಖಾ ಮಿಲನ್
BECKHAM	ಬೇಕ್ಹಮ್
OPTIMAL GROUP	ಆಪ್ಟಿಮಲ್ ಗ್ರೂಪ್
JAMES COOK UNIVERSITY	ಜೇಮ್ಸ್ ಕುಕ್ ಯುನಿವರ್ಸಿಟಿ
PYAR JHUKTA NAHIN	ಪ್ಯಾರ್ ಜುಕ್ತಾ ನಹೀ
NISA	ನಿಸಾ
JAISON	ಜೈಸನ್
BUSHRA	ಬುಶ್ರಾ
BHATTU	ಭಾಟು
DEEWAR	ದೀವಾರ್
SUHAYL	ಸುಹೇಲ್
AADMI AUR INSAAN	ಆದ್ಮಿ ಔರ್ ಇನ್ಸಾನ್
KATADARE	ಕಾಟದರೆ
CLEMENTINE	ಕ್ಲೆಮೆಂಟಿನ್
AGAR TUM NA HOTE	ಅಗರ್ ತುಮ್ ನಾ ಹೋತೆ
YELLOW SEA	ಯೆಲ್ಲೋ ಸೀ
Rugby	ರಗ್ಬಿ
SUZY-Q	ಸೂಜೀ-ಕ್ಯೂ
PREM SANGEET	ಪ್ರೇಮ್ ಸಂಗೀತ್
LAMBA	ಲಾಂಬಾ
RADHAVALLABH	ರಾಧಾವಲ್ಲಭ
BILASPUR ROAD	ಬಿಲಾಸ್‌ಪುರ್ ರೋಡ್
AANANDAMAYEE	ಆನಂದಮಯೀ
BATUQUE	ಬಟೂಕಿ
Jhajjar	ಝಾಜರ್
FORT CHIPEWYAN	ಫೋರ್ಟ್ ಚಿಪ್‌ವೆನ್
CARDEA	ಕಾರ್ಡೀ
ALAMATTI DAM	ಆಲಮಟ್ಟಿ ಡ್ಯಾಮ್
SHARIFUL HAQUE	ಶರೀಫುಲ್ ಹಕ್
CHHIDGAON	ಛಿದ್‌ಗಾಂವ್
MAHOTSAAH	ಮಹೋತ್ಸಾಹ
FIELDS MEDAL	ಫೀಲ್ಡ್ಸ್ ಮೆಡಲ್
KATRINA	ಕತ್ರಿನಾ
BANSDIH ROAD	ಬನ್ಸದಿ ರೋಡ್
LEEDS METROPOLITAN UNIVERSITY	ಲೀಡ್ಸ್ ಮೆಟ್ರೋಪಾಲಿಟನ್ ಯುನಿವರ್ಸಿಟಿ
HORIM MUSEM	ಹಾರಿಮ್ ಮ್ಯೂಸಿಯಂ
LLOYDS STEEL	ಲಯಾಡ್ಸ್ ಸ್ಟೀಲ್
NAZLI	ನಜ್ಲಿ
JAL TARANG	ಜಲ್ ತರಂಗ್
GOLDEN TURKEY AWARD	ಗೋಲ್ಡ್‌ನ್ ಟರ್ಕಿ ಅವಾರ್ಡ್
Muralidhar	ಮುರಳಿಧರ
MALISE	ಮ್ಯಾಲಿಸ್
OAK	ಓಕ್
XAVIER	ಜಾವಿಯರ್
BOWIE	ಬೋವಿ
NICHOLAS FINANCIAL	ನಿಕೊಲಸ್ ಫೈನಾನ್ಷಿಯಲ್
CAROLINA SHAG	ಕ್ಯಾರೊಲಿನಾ ಶಾಗ್
MODESTO PANETTI PRIZE	ಮಾಡೆಸ್ಟೋ ಪೆನೆಟ್ಟಿ ಪ್ರೈಜ್
Vaapikaa	ವಾಪಿಕಾ
AJLAH	ಅಜಿಲಾ
MUSEUM-ART COLLECTION OF THE NATIONAL BANK	ಮ್ಯೂಸಿಯಂ-ಆರ್ಟ್ ಕಲೆಕ್ಷನ್ ಆಫ್ ದ ನ್ಯಾಶನಲ್ ಬ್ಯಾಂಕ್
HAATHI MERE SAATHI	ಹಾಥಿ ಮೆರೆ ಸಾಥಿ
AAP KA PYAR	ಆಪ್ ಕಾ ಪ್ಯಾರ್
SADIYAH	ಸದೀಯಾ
BAGHORA	ಬಾಗ್ಹೋರಾ
AAVISHKAAR	ಆವಿಷ್ಕಾರ್
DOUST	ಡೌಸ್ಟ್
DELPHINA	ಡೆಲ್ಫಿನಾ
WALKER	ವಾಕರ್
BELWALKAR	ಬೆಲ್ವಾಲ್ಕರ್
RUDY	ರುಡಿ
ARCHIE	ಆರ್ಚೀ
SAMOSIR	ಸಮೊಸಿರ್
SERENO	ಸೆರೆನೋ
NEELAM PARI	ನೀಲಮ್ ಪರಿ
ZAKHM	ಜಖ್ಮ್
Ginger	ಜಿಂಜರ್
FINANCIERO	ಫಿನಾನ್ಷಿಯೆರೋ
ADHOKSHAJ	ಅಧೋಕ್ಷಜ
EK DIL SAU AFSANE	ಏಕ್ ದಿಲ್ ಸೌ ಅಫಸಾನೆ
Sheremetyevo	ಶೆರೆಮೆಟ್ಯೆವೊ
Brahmavart	ಬ್ರಹ್ಮಾವರ್ತ್
SIDI AHMED AL-TIDJANI	ಸಿದಿ ಅಹಮದ್ ಅಲ್-ತಿಡ್ಜಾನಿ
SHVETAANBAR	ಶ್ವೇತಾಂಬರ್
CHHATWAL	ಛತ್ತವಾಲ್
Sharmeeli	ಶರ್ಮಿಲಿ
ROHAN KANHAI	ರೋಹನ್ ಕನ್ನಾಯ್
Marghoob	ಮರಗೂಬ್
Mahaaraaj	ಮಹಾರಾಜ್
ATISH	ಆತಿಷ್
BAKHTIYARPUR JUNCTION	ಬಕ್ತಿಯಾರ್‌ಪುರ್ ಜಂಕ್ಷನ್
RAAT KE RAHI	ರಾತ್ ಕೆ ರಾಹಿ
KIRBY	ಕಿರ್ಬಿ
ELLESMERE	ಎಲೆಸಮೆರಿ
RASAVANT	ರಸವಂತ್
HOYSALESWARA	ಹೊಯ್ಸಳೇಶ್ವರ
Dorcas	ಡಾರ್ಕಾಸ್
AAKHRI GHULAM	ಆಖಿರೀ ಗುಲಾಮ್
BOLARUM	ಬೊಲಾರಮ್
KALA CHOR	ಕಾಲಾ ಚೋರ್
AGNI CHAKRA	ಅಗ್ನಿ ಚಕ್ರ
AGNI REKHA	ಅಗ್ನಿ ರೇಖಾ
MALAYSIA	ಮಲೇಷಿಯಾ
EURIDICE	ಯ್ಯುರಿಡೈಸ್
BUNNY HOP	ಬನ್ನಿ ಹಾಪ್
ALIBABA	ಅಲೀಬಾಬಾ
DAAMIN	ದಾಮನ್
CHUBU ELECTRIC POWER	ಚುಬು ಎಲೆಕ್ಟ್ರಿಕ್ ಪವರ್
CENTURY SANGBAD	ಸೆಂಚುರಿ ಸಂಗಬಾದ್
LEXI	ಲೆಕ್ಸಿ
DOMINICK	ಡೊಮಿನಿಕ್
NATRONA	ನೆಟ್ರೋನಾ
MANASIJAA	ಮನಸಿಜಾ
EKACHITT	ಏಕಚಿತ್
SHAAN_TI	ಶಾಂತಿ
CHHAYA	ಛಾಯಾ
Ameeri	ಅಮೀರೀ
ROD LATHAM	ರಾಡ್ ಲಥಾಮ್
SADOOF	ಸದೂಫ್
RYAN HINDS	ರಯಾನ್ ಹಿಂಡ್ಸ್
SINDOOR AUR BANDOOK	ಸಿಂದೂರ್ ಔರ್ ಬಂದೂಕ್
RAAJIV	ರಾಜಿವ್
DIL HI TO HAI	ದಿಲ್ ಹೀ ತೋ ಹೈ
JUHI	ಜುಹಿ
PHILIPS INDIA	ಫಿಲಿಪ್ಸ್ ಇಂಡಿಯಾ
KALTHAM	ಕಲ್ತಾಮ್
BALMANI	ಬಾಲ್ಮಣಿ
MARGAUX	ಮಾರ್ಗೌಕ್ಸ್
MAIN HOON JADUGAR	ಮೈ ಹೂ ಜಾದೂಗರ್
BONGAIGAON	ಬೊಂಗೈಗಾಂವ್
Talhah	ತಲ್ಹಾ
FIGHTER SHEILA	ಫೈಟರ್ ಶೀಲಾ
VINCHURKAR	ವಿಂಚುರ್‌ಕರ್
JASWANT	ಜಸವಂತ್
MARK TWAIN	ಮಾರ್ಕ್ ಟ್ವೈನ್
SHAHENSHAH	ಶಹನ್‌ಶಾಹ್
WIPRO	ವಿಪ್ರೋ
SAMUDRA	ಸಮುದ್ರ
GALAHAD	ಗಲಾಹದ್
YAVANIKAA	ಯವನಿಕಾ
ALLAN BORDER MEDAL	ಅಲನ್ ಬಾರ್ಡರ್ ಮೆಡಲ್
IRRISISTIBLE	ಇರ್ರೆಸಿಸ್ಟಬಲ್
CHITROD	ಚಿತ್ರೋದ್
EDAKKAD	ಇದಕ್ಕಾಡ್
LESTER	ಲೆಸ್ಟರ್
EK SHOLA	ಏಕ್ ಶೋಲಾ
BETUL	ಬೇತುಲ್
MUSEUM OF THE CITY OF NEW YORK	ಮ್ಯೂಸಿಯಂ ಆಫ್ ದ ಸಿಟಿ ಆಫ್ ನ್ಯೂ ಯಾರ್ಕ್
PRESIDENT HAYES	ಪ್ರೆಸಿಡೆಂಟ್ ಹಯೀಸ್
BEJUNCTIONAL	ಬಿಜಂಕ್ಷನಲ್
INDIANA	ಇಂಡಿಯಾನಾ
AUDIOCODES	ಆಡಿಯೋಕೋಡ್ಸ್
JULIETTE BINOCHE	ಚೂಲಿಯಟ್ ಬಿನೋಕ್
LEANNA	ಲೀನಾ
IAN HARVEY	ಇಯಾನ್ ಹಾರ್ವೆ
LAWRENCE	ಲಾರೆನ್ಸ್
CRAIG WISHART	ಕ್ರೆಗ್ ವಿಶಾರ್ಟ್
NOOR JAHAN	ನೂರ್ ಜಹಾಂ
LIVINGSTON	ಲಿವಿಂಗ್ಸ್ಟನ್
HUMKADAM	ಹಮಕದಮ್
KHALISAH	ಖಲೀಸಾ
GRAWEMEYER AWARD	ಗ್ರಾವೆಮೆಯರ್ ಅವಾರ್ಡ್
PREET	ಪ್ರೀತ್
AANGAN	ಆಂಗನ್
KAMRUP	ಕಾಮರೂಪ್
VERNON	ವೆರ್ನನ್
THAQIB	ತಾಕಿಬ್
Ramakant	ರಮಾಕಾಂತ್
AJGAIN	ಅಜ್‌ಗೈನ್
VAJEER	ವಜೀರ
PYAR KA TOOFAN	ಪ್ಯಾರ್ ಕಾ ತೂಫಾನ್
LAHU PUKAREGA	ಲಾಹೂ ಪುಕಾರೇಗಾ
CATHERINE ZETA - JONES	ಕ್ಯಾಥರೀನ್ ಜೀಟಾ - ಜೋನ್ಸ್
DISCO DANCER	ಡಿಸ್ಕೊ ಡ್ಯಾನ್ಸರ್
MASHOOQA	ಮಾಶೂಕಾ
EKALAVYA	ಏಕಲವ್ಯ
ABDUL MUJEEB	ಅಬ್ದುಲ್ ಮುಜೀಬ್
SNAPE	ಸ್ನೇಪ್
VITANKAR	ವಿಟಾಂಕರ್
NOBEL PEACE PRIZE	ನೊಬೆಲ್ ಪೀಸ್ ಪ್ರೈಜ್
HIMALAY	ಹಿಮಾಲಯ್
WAR MEDAL	ವಾರ್ ಮೆಡಲ್
RABEE	ರಬೀ
MADIHAH	ಮದಿಹಾ
TOHOKU ELECTIRC POWER	ತೊಹೊಕು ಎಲೆಕ್ಟ್ರಿಕ್ ಪವರ್
GUMA	ಗುಮಾ
JUNAYD SHIRAZI	ಜುನಾಯ್ದ್ ಶಿರಾಝಿ
CHERA	ಚೆರಾ
BALIAKHERI	ಬಲಿಯಾಖೇರಿ
BHOLI	ಭೋಲೀ
BHAVNA	ಭಾವನಾ
NITROGEN	ನೈಟ್ರೋಜನ್
HUM HAIN LAJAWAB	ಹಮ್ ಹೈ ಲಾಜವಾಬ್
PAUL WILSON	ಪೌಲ್ ವಿಲ್ಸನ್
MELINDA	ಮೆಲಿಂದಾ
AMLOH	ಅಮ್ಲೋ
KAKIRDE	ಕಾಕಿರ್ಡೆ
Parvati	ಪಾರ್ವತಿ
RAIGAD FORT	ರಾಯ್‌ಗಢ್ ಫೋರ್ಟ್
FORT MCNAB	ಫೋರ್ಟ್ ಮ್ಯಾಕ್‌ನಬ್
BERAHAM	ಬೆರಹಮ್
CHOLA	ಚೋಲಾ
HAJNA	ಹಜ್ನಾ
NAYA NASHA	ನಯಾ ನಶಾ
AADI	ಆದಿ
AIR FRANCE KLM GROUP	ಏರ್ ಫ್ರಾನ್ಸ್ ಕೆಎಲ್ಎಂ ಗ್ರೂಪ್
ANDRE NEL	ಆಂಡ್ರೆ ನಿಲ್
PATTHAR	ಪತ್ಥರ್
BOMBAY RAAT KI BAHON MEIN	ಬಾಂಬೆ ರಾತ್ ಕಿ ಬಾಹೋ ಮೆ
KALPITA	ಕಲ್ಪಿತಾ
CHINESE PETROLEUM	ಚೈನೀಸ್ ಪೆಟ್ರೋಲಿಯಂ
AASMAN SE GIRA	ಆಸಮಾನ್ ಸೆ ಗಿರಾ
Bhilwara	ಭಿಲ್ವಾರಾ
HALDIA PETROCHEMICALS	ಹಾಲ್ಡಿಯಾ ಪೆಟ್ರೋಕೆಮಿಕಲ್ಸ್
BRIAN	ಬ್ರಿಯಾನ್
CHAMILA GAMAGE	ಚಮೀಲ ಗಮಗೆ
GOLDEN GATE HIGHLANDS	ಗೋಲ್ಡನ್ ಗೇಟ್ ಹೈಲ್ಯಾಂಡ್ಸ್
MACUMBO	ಮ್ಯಾಕುಂಬೊ
ARCELOR	ಆರ್ಸಿಲರ್
NAUGHTY BOY	ನಾಟಿ ಬಾಯ್
AURAT KA INTEQAM	ಔರತ್ ಕಾ ಇಂತೆಕಾಮ್
SARISKA	ಸರಿಸ್ಕಾ
LACONIA	ಲೆಕೋನಿಯಾ
JADU NAGRI	ಜಾದೂ ನಗರೀ
MARRIAGE BUREAU	ಮ್ಯಾರೇಜ್ ಬ್ಯೂರೊ
GUFIC BIO	ಗ್ರುಫಿಕ್ ಬಯೋ
MAJOR LEAGUE LACROSSE DEFENSIVE PLAYER OF THE YEAR AWARD	ಮೇಜರ್ ಲೀಗ್ ಲಾಕ್ರೊಸ್ ಡಿಫೆನ್ಸಿವ್ ಪ್ಲೇಯರ್ ಆಫ್ ದ ಈಯರ್ ಅವಾರ್ಡ್
STRASBOURG	ಸ್ಟ್ಯಾಸ್‌ಬರ್ಗ್
Ethanael	ಈಥನೇಲ್
SHAHI CHOR	ಶಾಹಿ ಚೋರ್
POPLI	ಪೋಪಲಿ
AMERICAN INTERNATIONAL BUILDING	ಅಮೆರಿಕನ್ ಇಂಟರ್ನ್ಯಾಷನಲ್ ಬಿಲ್ಡಿಂಗ್
AJATSHATRU	ಅಜಾತ್‌ಶತ್ರು
VAN	ವನ್
KAHF HOTI	ಕಾಫ್ ಹೋಟಿ
BOUGAINVILLE	ಬೌಗನ್‌ವಿಲ್ಲೆ
DISA	ದಿಸಾ
DOOSRA	ದೂಸರಾ
KOWLOON	ಕೌಲೂನ್
MACMILLAN	ಮ್ಯಾಕ್‌ಮಿಲನ್
NAN	ನನ್
VIBRAPHONE	ವೈಬ್ರಫೋನ್
NIEUWERSLUIS	ನ್ಯುವರ್‌ಸ್ಲೂಸ್
CHITTOR	ಚಿತ್ತೋಡ್
MIRSAB	ಮಿರಸಾಬ್
STU ROBERTS	ಸ್ಟು ರಾಬರ್ಟ್ಸ್
SHOTRI	ಶೋತ್ರಿ
RAKHI	ರಾಖೀ
HINDU	ಹಿಂದು
ELLISON	ಎಲಿಸನ್
FORT DE KOCK	ಫೋರ್ಟ್ ಡಿ ಕಾಕ್
FIRSTENERGY	ಫಸ್ಟೆನರ್ಜಿ
KOSTAS FRONTZOS MUSEUM OF EPIRUS' FOLK ART	ಕೋಸ್ತಾಸ್ ಫ್ರಂಟ್‌ಜೋಸ್ ಮ್ಯೂಸಿಯಂ ಆಫ್ ಎಪೀರಸ್ ಫೋಕ್ ಆರ್ಟ್
Pul	ಪಲ್
MADHYA PRADESH	ಮಧ್ಯಪ್ರದೇಶ
SOMALIA	ಸೋಮಾಲಿಯಾ
CALVERT	ಕ್ಯಾಲ್ವರ್ಟ್
BAALENDRA	ಬಲೇಂದ್ರ
GIR	ಗಿರ್
GOPIKA	ಗೋಪಿಕಾ
VEERU DADA	ವೀರೂ ದಾದಾ
Guldhar	ಗುಲ್ದಾರ್
NATALIA	ನಟಾಲಿಯಾ
QAMEER	ಕಮೀರ್
PALEKAR	ಪಾಲೇಕರ್
JAWANI DIWANI	ಜವಾನಿ ದಿವಾನಿ
BARBERTON FRIENDS	ಬಾರ್ಬೆರ್ಟಾನ್ ಫ್ರೆಂಡ್ಸ್
MIKASA	ಮಿಕಾಸಾ
LITA	ಲಿತಾ
SHINDI	ಶಿಂದಿ
WARAICH	ವರೈಚ್
Surya	ಸೂರ್ಯ
MIRC ELECTRONIC	ಮಿರ್ಕ್ ಎಲೆಕ್ಟ್ರಾನ್ಸಿಕ್ಸ್
JOGEESHVAR	ಜೋಗೀಶ್ವರ್
GANGOL	ಗಂಗೋಲ್
EKANGA	ಏಕಾಂಗ
FORT SANTO DOMINGO	ಫೋರ್ಟ್ ಸ್ಯಾಂಟೊ ಡೊಮಿಂಗೊ
ONE LIBERTY PLACE	ಒನ್ ಲಿಬರ್ಟಿ ಪ್ಲೇಸ್
AMAR SAIGAL	ಅಮರ್ ಸೈಗಲ್
BEQASOOR	ಬೆಖಸೂರ್
COLLEGE GIRL	ಕಾಲೇಜ್ ಗರ್ಲ್
MAHANAGAR GAS	ಮಹಾನಗರ್ ಗ್ಯಾಸ್
DREA	ಡ್ರಿಯಾ
DAMPATI	ದಂಪತಿ
WIRELESS MUSEUM	ವೈರ್‌ಲೆಸ್ ಮ್ಯೂಸಿಯಂ
TUNGAR	ತುಂಗರ್
HAGUE	ಹೇಗ್
Boparai	ಬೋಪರಾಯ್
KOYNA	ಕೊಯ್ನಾ
PAKHI	ಪಾಖಿ
PULAKIT	ಪುಳಕಿತ್
NICODEMUS	ನಿಕೊಡೆಮಸ್
GACHHIPURA	ಗಚ್ಚಿಲಿಪುರಾ
KEYA	ಕೇಯಾ
SHYAMARI	ಶ್ಯಮರಿ
DIVYESH	ದಿವ್ಯೇಶ್
BEWAFA	ಬೇವಫಾ
THE LITTLE ROCK	ದ ಲಿಟಲ್ ರಾಕ್
BADE GHAR KI BETI	ಬಡೇ ಘರ್ ಕಿ ಬೇಟಿ
MADHUNISHA	ಮಧುನಿಶಾ
NADIRAH	ನದಿರಾ
