NADHIR	நாதிர்
DANSKE BANK GROUP	டான்ஸ்கே பேங்க் குரூப்
ANSOO BAN GAYE PHOOL	அன்சூ பன் கயே பூல்
CANDACE	கேன்டாஸ்
Karnaal	கர்னால்
BRETAGNE	பிரேடக்னெ
CANDICE	கேன்டிஸ்
TAURUS	டாரஸ்
EL SABINAL	எல் சாபினல்
QUTAYYAH	குடாய்லா
AGOSH	ஆகோஷ்
KAMALAPATI	கமலாபதி
ARSHAD KHAN	அர்ஷத் கான்
ACHALENDRA	அச்சலேந்திரா
GERRY	ஜெரி
BORIVALI	போரிவாலி
TARYN	டாரின்
GARTH BROOKS	கேர்த் ப்ரூக்ஸ்
SIR DARYA	சர் தார்யா
DEEWAN JEE	தீவான் ஜீ
TEESRI AANKH	தீஸ்ரி ஆங்க்
KANGADA	கங்காடா
PEMEX	பேமெக்ஸ்
SATI PARIKSHA	சதி பரிக்ஷா
JADUI BANSARI	ஜாடுய் பன்சாரி
Tanmay	தன்மய்
MAATI MANAS	மாட்டி மானாஸ்
BURHAR	புர்ஹார்
AIMEE	ஐமீ
SANGEETA	சங்கீதா
TARANGA	தாரங்கா
ABDUL QADIR JILANI	அப்துல் காதிர் ஜிலானி
TAMAS	டமாஸ்
JAGUR	ஜகுரி
MOORAT	மூரத்
CHANDRALEKHA	சந்திரலேகா
WALLECE COLLECTION	வாலெஸ் கலெக்ஷன்
EK KE BAAD EK	ஏக் கே பாத் ஏக்
ENGLISH TANGO	இங்கிலிஷ் டாங்கோ
LAALASAA	லாலஸா
ALI SHAH	அலி ஷா
VINOD	வினோத்
JACQUES KALLIS	ஜாக்ஸ் காலிஸ்
MAKITA	மாகிட்டா
CARTOON MUSEUM	கார்டூன் மியூஸியம்
YANG QIN	யாங் கின்
MANIMUKTHANADHI RESERVOIR	மணிமுக்தாநதி ரிசர்வாயர்
DIMITRIS	டிமிடிரிஸ்
SORRENTO 1	சோரன்டோ 1
BOY FRIEND	பாய் ஃபிரண்ட்
SANDRA DAY O'CONNOR	சாண்ட்ரா டே ஓ'கானர்
DUNIYA KYA JANE	துனியா கியா ஜானே
OBEROI HOTELS	ஓப்ராய் ஹோட்டல்ஸ்
PICKLECOMBE FORT	பிக்கல்காம்பே ஃப்போர்ட்
LAQEET	லகித்
BING CROSBY	பிங் க்ராஸ்பி
SHOAIB AKHTAR	ஷோயப் அக்தர்
ABDUS SATTAAR	அப்துஸ் சத்தார்
VENKATESH PRASAD	வெங்கடேஷ் பிரசாத்
ANAAM	அனாம்
KHARAD	காராத்
SELENE	செலினி
SHAKIR	ஷகிர்
FRANCINE	ஃப்ரான்கைன்
DENESH RAMDIN	தினேஷ் ராம்தின்
EDGAR CASEY	எட்கர் கேஸி
MARATHI	மராத்தி
KAUSHAL LOKUARACHCHI	கௌஷல் லொக்குவாராச்சி
JAGRAN	ஜக்ரன்
CASPER	காஸ்பர்
MUZZAMMIL	முஸ்ஸாமில்
HUM INTEZAAR KARENGE	ஹம் இன்டசார் கரேங்கே
Un_manaa	உன்_மன்னா
Aidh	ஐத்
JAMAL	ஜமால்
Adway	அத்வே
CURIUM	க்யூரியம்
AFRA	அஃப்ரா
FATHOM FIVE	ஃபாதோம் ஃபைவ்
LUTETIUM	லுடெஷியம்
MATLOOB	மட்லூப்
KISHORE	கிஷோர்
VEINTICINCO DE MAYO	வெய்ன்டிசின்கோ டி மாயோ
DURGESH NANDINI	துர்கா நந்தினி
ACHALDA	அசால்டா
CERISE	செரைஸ்
SHAMIR OPTICAL INDUSTRY	ஷமிர் ஆப்டிக்கல் இண்டஸ்டிரி
SEETA	சீதா
KEEGAN	கீகன்
RADON	ரேடான்
GOPA	கோபா
RANBAXY LABS	ரேன்பேக்ஸி லேப்ஸ்
MANGAT	மங்கத்
CARLOW	கார்லோ
Shanta	ஷாந்தா
DELL	டெல்
FELL	ஃபெல்
LORI	லோரி
VARHAD	வர்ஹாத்
DIXIE	டிக்ஸி
NAHIDA	நாஹிடா
KARUNA	கருணா
KENT	கென்ட்
HUBAAB	ஹுபாப்
SARA LEE	சாரா லீ
ALBION	அல்பியான்
JERUSALEM	ஜெருஸலம்
JERUSALEM	ஜெருஸலேம்
JERUSALEM	ஜெரூஸலம்
JERUSALEM	ஜெரூஸலேம்
Buddhdev	புத்ததேவ்
YADAVINDRA	யாதவிந்திரா
LEE GERMON	லீ ஜெர்மன்
JAUREGUIBERRY	ஜவ்ரேகுபெர்ரி
DIL DAULAT DUNIYA	தில் தௌலத் துனியா
ANDOLAN	அந்தோலன்
WORLD FOOD PRIZE	வோர்ல்ட் ஃபுட் ப்ரைஸ்
Rabobank	ராபோபேங்க்
RABIT	ரபித்
PARAMJEET	பரம்ஜீத்
Achaleshvara	அச்சலேஷ்வரா
RAMANADHI RESERVOIR	ரமாநதி ரிசர்வாயர்
KUNJAR PUTREE	குஞ்சர் புத்ரீ
PRIX DES DEUX-MAGOTS	ப்ரிக்ஸ் டிஸ் டியுக்ஸ்-மகோட்ஸ்
Shadha	ஷதா
NAT KING COLE	நாட் கிங் கோல்
SABIHAH	சபிஹா
SATYAKAM	சத்யகம்
SATYAKAM	சத்யாகம்
JEETE HAIN SHAN SE	ஜீதே ஹெயின் ஷான் சே
TOYOTA	டொயோடா
ADARSHNAGAR	ஆதர்ஷ்நகர்
APACHE	அபாச்சே
DION NASH	டியோன் நாஷ்
RABIN	ராபின்
DEEKSHAAPATI	தீக்‌ஷாபதி
PURA	புரா
MOHINDER AMARNATH	மொஹிந்தர் அமர்னாத்
CHANDNI RANI	சாந்தினி ராணி
Godaan	கோதான்
SOFON SUPHAPONG	சோஃபோன் சுஃபாபோங்
JURA	ஜூரா
Mridula	ம்ரிதுலா
PRADHAN	பிரதான்
Naik	நாயக்
ITIMAD	இட்டிமாத்
DRAPER	டிரேபர்
PSALTERY	ப்சால்டெரி
BOMBAY SAMACHAR	பாம்பே சமாச்சர்
RABI'	ரபி
ZERLINA	ஜெர்லினா
ALEC STEWART	அலெக் ஸ்டீவர்ட்
RABIAH	ரபையா
CHARANDAS	சரண்தாஸ்
MARK BENSON	மார்க் பென்சன்
RANITA	ரனிதா
KAAMNA	காம்னா
DINANATH RAMNARINE	தினநாத் ராம்நாராய்ண்
MELVINA	மெல்வினா
RUCHI SOYA	ருச்சி சோயா
SUSIE	சுஸி
SUN LIFE FINANCIAL SERVICES	சன் லைஃப் ஃபினான்ஷியல் சர்வீசஸ்
DHIRENDRA	திரேந்திரா
GOGNA	கோக்னா
NARANG	நரங்
IPSA	இப்ஸா
GEMINI AWARD	ஜெமினி அவார்ட்
SHRAVASTINAGAR	ஷ்ரவஸ்திநகர்
BHANAPUR	பனாபூர்
CHIZARIRA	சிஜாரிரா
INSAAF KAUN KAREGA	இன்சாஃப் கோன் கரேகா
GHALIB	காலிப்
GÉNÉRALE	ஜெனரெல்
CALIX	காலிக்ஸ்
NARULA	நருளா
KRODH	குரோத்
MAKKI	மக்கி
GHAI	காய்
MEKHALIN	மேகலின்
OBAYASHI	ஓபேயாஷி
FORT KENAMU	ஃப்போர்ட் கேனாமு
DEVLALI	தேவ்லாலி
AGNIKUMAR	அக்னிகுமார்
DODBELE	தோட்பேலே
Jhelum	ஜீலம்
DE MONTFORT UNIVERSITY	டி மாண்ட்ஃபோர்ட் யூனிவர்சிட்டி
NIXIE	நிக்ஸி
LAMAR	லமர்
LAMAR	லாமார்
BAHIRA	பாஹிரா
BASMAT	பாஸ்மத்
MALANG	மலங்
ARYAMAN	அர்யாமான்
BHARAT SAMACHAR	பாரத் சமாச்சர்
DHARMANAGAR	தர்மாநகர்
SPYRIDON	ஸ்பைரிடன்
GALENA	கலேனா
ELINOR	எலினார்
TOM	டாம்
GANESH	கணேஷ்
HUTCHISON ESSAR	ஹட்சிசன் எஸ்ஸார்
DHAMNI	தாமினி
OLD ROMAN	ஓல்ட் ரோமன்
HEERAA	ஹீரா
PALM SPRINGS	பாம் ஸ்பிரிங்ஸ்
BHARAT FORGE	பாரத் ஃபோர்ஜ்
CARMEL CONVENT SCHOOL, CHANDIGARH	கார்மெல் கான்வெண்ட் ஸ்கூல், சண்டிகர்
LUTFI	லுத்ஃபி
MUTHA	மூட்டா
JOIE	ஜோயி
CHHABRA GUGOR	சப்ரா குகோர்
ANEMONE	அனெமென்
DANIEL ERASMUS	டேனியல் இராஸ்மஸ்
AITBAAR	அயித்பார்
EKATAN	எகாதான்
ZYDUS	சைடஸ்
NEPAL	நேபாளம்
LEONTYNE	லியோன்டின்
VAISHAMPAYAN	வைஷம்பயன்
DESHALPAR	தேஷல்பர்
NEHRA	நெஹ்ரா
KABZAA	கப்சா
Tawny	தௌனி
BAPATLA	பபாட்லா
Colleen	கோலீன்
GEORGINA	ஜார்ஜீனா
MEERAA	மீரா
ADHIP	அதிப்
BRITISH ACADEMY TELEVISION AWARDS	ப்ரிட்டிஷ் அகாடமி டெலிவிஷன் அவார்ட்ஸ்
ASHTKARNA	அஷ்த்கர்னா
BANKEBIHAARI	பாங்கேபிஹாரி
ADHIT	அதித்
FERGUSON	ஃபெர்குசன்
Aazmaish	ஆஸ்மயிஷ்
BAMBAI KA MAHARAJA	பம்பை கா மஹராஜா
BOLANGIR	பொலான்கிர்
IVORY	ஐவரி
TINU YOHANNAN	டினு யோஹன்னன்
GRAEME BEARD	கிரேமெ பியர்ட்
LATHAM	லாதம்
GAMINI WICKREMASINGHE	காமினி விக்ரமசிங்கே
WASIMAH	வஸிமா
NANTIE HAYWARD	நேண்டி ஹேவர்ட்
ASASIA	அசாசியா
VITTHALA	விதாலா
Tungabhadra	துங்கபத்ரா
WASIFAH	வசீஃபா
BORNHEM FORT	பார்ன்ஹெம் ஃப்போர்ட்
CISCO	சிஸ்கோ\
EMMLY	எம்லி
SUZETTE	சுஸெட்
CRAIG WISHART	க்ரெய்க் விஷார்ட்
DO USTAAD	தோ உஸ்தாத்
JADUGAR	ஜாடுகர்
NAMAN	நமன்
ACHAARYNANDANAA	ஆசார்யானான்தனா
THE GOLD MEDAL	த கோல்ட் மெடல்
Borgaon	போர்காவ்
BARKANDI	பர்கன்டி
INDIANA UNIVERSITY EAST	இண்டியானா யூனிவர்சிட்டி ஈஸ்ட்
TSLIMA NASREEN	ட்சிலிமா நஸ்ரின்
NATEEJA	நடீஜா
DEGANA JUNCTION	தேகனா ஜங்ஷன்
BACHCHA	பாச்சா
BARUVA	பாருவா
Sevaaram	செவாராம்
ALPHA MATRICULATION HIGHER SECONDARY SCHOOL, CHENNAI	ஆல்ஃபா மெட்ரிகுலேஷன் ஹையர் செகண்டரி ஸ்கூல், சென்னை
LEI YUE MUN FORT	லீ யு மன் ஃப்போர்ட்
DAEGU NATIONAL MUSEUM	டாயிகு நேஷனல் மியூஸியம்
MAUNA LOA	மௌனா லோவ
HUM PANCH	ஹம் பஞ்ச்
LUKE	லுக்
BENGALI	பெங்காளி
UNIVERSITY OF ILLINOIS	யூனிவர்சிட்டி ஆஃப் இல்லினாய்ஸ்
BEWAFAI	பேவஃப்பை
DHEEMAN	தீமன்
AUR PYAR HO GAYA	ஔர் பியார் ஹோ கயா
DUKE	டியூக்
DUKE	ட்யூக்
PARAKRAM	பராக்ரம்
UTSAV	உட்சவ்
UTSAV	உத்சாவ்
KANHAIYALAL	கன்ஹையால்
HANSRAJ MORARJI PUBLIC SCHOOL	ஹன்ஸ்ராஜ் மொரார்ஜி பப்ளிக் ஸ்கூல்
KHUBGAONKAR	குப்கோன்கர்
FATEHPUR	ஃபதேபூர்
FATEHPUR	ஃபதேப்பூர்
FATEHPUR	பதேபூர்
FATEHPUR	பதேப்பூர்
DARINDA	தரிந்தா
AMURT	அமுர்த்
ALBERT PINTO KO GUSSA KYON ATA HAI	ஆல்பெர்ட் பின்டோ கோ குஸ்ஸா கியோன் அதா ஹை
PEHLI SHADI	பெஹ்லி ஷாதி
GHAZALAN	கஜாலன்
BALAVIR	பலவீர்
YEHIAM FORT	யெஹியாம் ஃப்போர்ட்
JABIR	ஜபீர்
HANSFORD	ஹான்ஸஃப்போர்ட்
MADESH	மாதேஷ்
DAMAN	தமன்
DAMAN	தாமன்
MEHMAAN	மெஹ்மான்
CHALTE CHALTE	சல்தே சல்தே
PIERRE	பியரி
DAANISH	தானிஷ்
BELLEVUE CHRISTIAN	பெல்லேவு கிறிஸ்டியன்
PURANJAY	புரஞ்சய்
TANIKA	தனிகா
KANNANUR	கன்னனூர்
SEIF	சிஃப்
BARYA	பார்யா
ANAAMIKAA	அனாமிக்கா
APNA DESH PARAYE LOG	அப்னா தேஷ் பராயே லோக்
ATTALA	அட்டாலா
MARYUM	மர்யூம்
SHOBNA	ஷோப்னா
Hunterwali	ஹன்டர்வாலி
SHOBHA	ஷோபா
MERCHANTS HOUSE MUSEUM	மெர்சன்ட்ஸ் ஹவுஸ் மியூஸியம்
RABBANI	ரப்பானி
Solan	சோலன்
NITYANATH	நித்யநாத்
EUROTRUST	யூரோடிரஸ்ட்
JOHNSON CONTROLS	ஜான்ஸன் கன்டிரோல்ஸ்
CHHOTE NAWAB	சோட்டே நவாப்
FORT MACKAY	ஃப்போர்ட் மாக்கே
SHAHRIAR HOSSAIN	ஷாஹ்ரியர் ஹோஸ்ஸென்
ABBASI	அப்பாஸி
NEETA	நீதா
GEETA MERA NAAM	கீதா மேரா நாம்
MILAN KI RAAT	மிலன் கி ராத்
AADITYVARDHAN	ஆதித்வர்தன்
BHIWANI	பிவானி
SAROLKAR	சரோல்கர்
HOLMIUM	ஹோல்மியம்
MEDAL OF HEROISM, MILITARY	மெடல் ஆஃப் ஹீரோயிசம், மிலிட்டரி
WILLIAM NAGAR	வில்லியம் நகர்
MANJU KAPOOR	மஞ்சு கபூர்
MARION	மாரியன்
AKSHITA	அக்ஷிதா
HABIB	ஹபிப்
COBRA GIRL	கோப்ரா கேர்ள்
MUDABBIR	முடாப்பிர்
SAGGAI	சகாய்
LAMBERT	லாம்பெர்ட்
MULKRAJ	முல்க்ராஜ்
MARIAN	மாரியன்
FATEHNAGAR	ஃபதேஹ்நகர்
HANASH	ஹனாஷ்
KULDEEPAK	குல்தீப்
DEVGIRI	தேவ்கிரி
ALDAN	அல்டன்
MARUTI UDYOG LIMITED	மாருதி உத்யோக் லிமிடெட்
MAC DONNELL	மெக்டோனல்
RAAJYALAKSHMEE	ராஜ்யலக்ஷ்மி
PAIGHAAM	பைகாம்
SHUNGARE	ஷுன்கரே
SARDEGNA	சார்டெக்னா
BRENDON JULIAN	பிரென்டன் ஜூலியன்
RATON KA RAJA	ராதோன் கா ராஜா
Hans	ஹான்ஸ்
Bratislava	பிரதிஸ்லவா
YASH	யாஷ்
NEW YORK TRANSIT MUSEUM	நியூ யார்க் டிரான்சிட் மியூஸியம்
NISHIT	நிஷித்
HASHIR	ஹஷிர்
VENTURE CHRISTIAN	வென்சுர் கிறிஸ்டியன்
RASTE AUR MANZIL	ராஸ்தே அவுர் மன்ஸில்
ANUSUYA	அனுசூயா
KHATARNAK	கதர்நாக்
PRAGATHI HIGH SCHOOL, SITAPHALMANDI, SECUNDERABAD	பிராகதி ஹ ஸ்கூல், சிதாபால்மாண்டி, செக்குந்திராபாத்
BRITISH PETROLEUM	ப்ரிட்டிஷ் பெட்ரோலியம்
CONSOLIDATED MERCANTILE	கன்சாலிடேட்டட் மெர்கன்டைல்
KONKAN	கொங்கன்
SHINDA	ஷிந்தா
Pete	பெடே
ARYANKAVU	ஆரியன்காவு
GREG THOMAS	கிரெக் தாமஸ்
AASIMAH	ஆஸிமா
VISHVAROOP	விஷ்வரூப்
SIENNA	சியன்னா
VIRIBUS UNITIS	விரிபஸ் யூனிடிஸ்
SUDATH PASQUAL	சுதாத் பாஸ்கல்
GIUSEPPE GARIBALDI	கியூஸெப்பே காரிபால்டி
PUNIA	புனியா
AASIYAH	ஆஸியா
ASHIRWAD	ஆஷிர்வாத்
FAMILY	பேமிலி
PANNALAL PATEL	பன்னாலால் பட்டேல்
GEOFFREY BILSON AWARD	ஜெஃப்ரி பில்சன் அவார்ட்
SARMAD	சர்மத்
KABIL	கபில்
NEK DIL	நேக் தில்
STACK ROCK FORT	ஸ்டேக் ராக் ஃப்போர்ட்
PREM KAHANI	பிரேம் கஹானி
BANGROD	பங்ரோட்
SHREE KRISHNA LEELA	ஸ்ரீ கிருஷ்னா லீலா
KULDEEP NAIYAR	குல்தீப் நையார்
PINDUS	பிண்டஸ்
ARIVUMADHI	அரிவுமதி
ANKUSHEE	அன்குஷீ
MACKENZIE	மெக்கன்ஸி
MACKENZIE	மெக்கின்ஸி
MACKENZIE	மெக்கென்ஸி
SABADHU	சபாது
CATHERINE TURNER	கேத்தரின் டர்னர்
ALLEN	அல்லன்
CHAMELI KI SHADI	சமேலி கி ஷாதி
DEVASTATION	டிவெஸ்டேஷன்
SIDDHI VINAYAK	சித்தி விநாயக்
Rashmil	ராஷ்மில்
TRISTRAM	ட்ரிஸ்ட்ராம்
STEVE WOZNIAK	ஸ்டீவ் ஓஸ்னியாக்
MOUNT OLYMPUS	மவுண்ட் ஒலிம்பஸ்
SAMAJ	சமாஜ்
BHOGLE	போக்லே
GIRIJA	கிரிஜா
KHUDA KASAM	குதா காஸம்
GOPICHAND	கோபிசன்ந்த்
LAXMI NARAYAN	லக்ஷ்மி நாராயன்
SHIPRA	ஷிப்ரா
FATEHGARH	ஃபதேகார்
ANUGAMITA	அனுகாமித்தா
GULZAR	குல்ஸார்
Barnagar	பார்நகர்
BHILAD	பிலாத்
SASURAL	சாஸுரல்
NUDRAT	நுத்ராத்
JAGESH	ஜகேஷ்
UMBERTO	உம்பெர்டோ
KANIKA	கனிகா
CHALAAK	சாலாக்
FORT PICKENS	ஃப்போர்ட் பிக்கன்ஸ்
LADKE BAAP SE BADH KE	லாட்கெ பாப் செ பாத் கெ
GUNJHOW	குன்ஜ்ஹவ்
AADHA	ஆதா
CAROLINE	காரோலின்
AUROBINDO MEMORIAL SCHOOL	அரபிந்தோ மெமோரியல் ஸ்கூல்
DEMOCRATIE	டெமோகிரேடி
FREESTONE	ஃப்ரீஸ்டோன்
JYOTSANAA	ஜோத்ஸ்னா
SHOREHAM REDOUBT	ஷோர்ஹாம் ரீடவுட்
BAGESHWAR	பாகேஷ்வர்
SATYWAN SAVITRI	சத்யவான் சாவித்ரி
SYSCO	சிஸ்கோ
VISHAAL	விஷால்
OXYGEN	ஆக்ஸிஜன்
YASHODHA	யசோதா
SANNATA	சன்னாடா
SCAILEX CORPORATION	ஸ்கைலெக்ஸ் கார்ப்பரேஷன்
KATHAJURI	கதஜூரி
DAN RATHER	டான் ராதர்
TIM ALLAN	டிம் ஆலன்
MAWIYAH	மவியா
JAWAB	ஜவாப்
PARIJAT	பாரிஜாத்
AMRITSAR	அம்ரித்சார்
PALKON KI CHHAON MEIN	பால்கோன் கி சாஹான் மேன்
KHAZANCHI	கஸான்ச்சி
LAL KOTHI	லால் கோதி
BAISAKHI	பைசகி
ROCKWELL	ராக்வெல்
NABIL	நபில்
SHAJEE'AH	ஷாஜீயா
JUNE	ஜூன்
TOTIE	டோஸி
ALBURY	அல்பரி
CURRY	கரி
AASHIR	ஆஷிர்
BASIMAH	பஸீமா
DILLAGI	தில்லகி
SMARAM	ஸ்மரம்
ABDUL HADI	அப்துல் ஹாதி
NOVAMERICAN STEEL	நோவாமெரிக்கன் ஸ்டீல்
MATWALE	மாத்வாலெ
Pawagi	பவாகி
VANIG	வனிக்
RESEARCH IN MOTION LIMITED	ரிசர்ச் இன் மோஷன் லிமிடெட்
FORT SPION	ஃப்போர்ட் ஸ்பியான்
ELWORTHY	எல்வொர்தி
MARGARET THEATRE	மார்க்ரட் தியேட்டர்
ADITYAA	அதித்யா
JULIUS	ஜூலியஸ்
Electrosteel	எலக்ட்ரோஸ்டீல்
STARR	ஸ்டார்
SINHAVAAHINEE	சிங்கவாஹினீ
SINHAVAAHINEE	சின்ஹவாஹினீ
TIMES INTERNET LIMITED	டைம்ஸ் இன்டர்நெட் லிமிடெட்
WAQT WAQT KI BAAT	வக்த் வக்த் கி பாத்
KAALARAATRI	காலராத்ரி
NASHTARI	நஷ்தாரி
Samavart	சமவர்த்
FADO	ஃப்பாடோ
GEETI	கீதி
NAMDEV	நாம்தேவ்
KOMATSU	கோமட்சு
JUPITER	ஜூப்பிட்டர்
BADE BHAIYA	படே பைய்யா
Daulatabad	தௌலதாபாத்
ROAD TO SIKKIM	ரோட் டூ சிக்கிம்
MIRC ELECTRONIC	மிர்க் எலக்ட்ரானிக்
COLIN POWELL	காலின் பாவல்
FAISLA	ஃபைஸ்லா
CLARISSA	கிளாரிஸா
JAHRODA	ஜாரோடா
Aayushmati	ஆயுஷ்மாதி
MRITYUNJAI	ம்ரித்யுஞ்சய்
EYTAN	ஐடான்
RATNA	ரத்னா
DUNDWARA	துண்ட்வாரா
SQUIDDY AWARDS	ஸ்க்விட்டி அவார்ட்ஸ்
AJANTI	அஜந்தி
BHOLI	போலி
CHRIS BROAD	கிரிஸ் பிராட்
Afeerah	அஃபீரா
PYAR KI BAAZI	பியார் கி பாஸி
GRAMMY HALL OF FAME AWARD	க்ராம்மி ஹால் ஆஃப் ஃபேம் அவார்ட்
ABHISHOKA	அபிஷோகா
NIMAT	நிமத்
KEERTHI RANASINGHE	கீர்த்தி ரனசிங்கே
GYNAECOLOGY	கைனக்காலஜி
PERUMPALLAM RESERVOIR	பெரும்பள்ளம் ரிசர்வாயர்
YAQOOT	யாகுத்
AMAR AKBAR ANTHONY	அமர் அக்பர் ஆண்டனி
NARHARI	நரஹரி
BRISBON	பிரிஸ்பன்
WOLF PRIZE IN MATHEMATICS	உல்ஃப் ப்ரைஸ் இன் மேத்தமேட்டிக்ஸ்
DIAL	டயல்
ABDUL MALIK	அப்துல் மாலிக்
MAATI MAANGE KHOON	மாட்டி மாங்கெ கூன்
GARY	காரி
POORNIMAA	பூர்ணிமா
KLUANE	குளுவேன்
JOEL	ஜோயல்
GURKIRAT	குர்கிராத்
PREM BANDHAN	பிரேம்
OGAN	ஓகன்
NATCO PHARMA	நேட்கோ ஃபார்மா
Chhatwal	சட்வால்
ABDUL KHAALIQ	அப்துல் காலிக்
Philippine	பிலிப்பைன்
CONSTELLATION	கான்ஸ்டெல்லேஷன்
SAAN	சான்
MARCHOVELETTE	மார்சோவெலெட்டே
JHIKKA	ஜிக்கா
Surjit	சுர்ஜித்
Fergal	ஃபெர்கல்
MUTAWASSIT	முதாவாசித்
PATNA	பாட்னா
Balraaj	பல்ராஜ்
KEPLER WESSELS	கெப்லர் வெசல்ஸ்
KEPLER WESSELS	கெப்லர் வெஸ்ஸல்ஸ்
KUFRA	குஃப்ரா
FAHIM	ஃபாஹிம்
NIKKI	நிக்கி
FUJI	ஃப்புஜி
ANAPAY	அனாபாய்
SAKHI	சகி
COLORADO	கொலொரேடோ
TEWAARATON TROPHY	தீவாரத்தன் ட்ராஃபி
JOHN PAUL GETTY	ஜான் பால் கெட்டி
PARINDE	பரிந்த்
HAL AUR BANDOOK	ஹல் ஔர் பன்தூக்
BHAKTI NAGAR	பக்தி நகர்
AULAD KI KHATIR	ஔலத் கி கடிர்
ERYK	எரிக்
HIDAYAT	ஹிதயத்
DAVID COLLEY	டேவிட் கோல்லே
BASHIR	பஷீர்
THARIKE	தாரிகே
SHOEB	ஷோப்
KASHMIRA	காஷ்மிரா
BADE GULAM ALI KHAN	பாடே குலாம் அலி கான்
MISS TOOFAN MAIL	மிஸ் டூஃப்பன் மெயில்
ABHILASHA	அபிலாஷா
Mukula	முகுலா
NAZEEFAH	நஸீஃபா
VARDHA	வர்தா
SAFIYY	சஃபிய்
FLORIDA	ஃப்பிளோரிடா
CHARANGO	சராங்கோ
BHAIYAALAAL	பையாலால்
DHARMPAL	தரம்பால்
DILSHAN	தில்ஷான்
ADAVATKAR	அதாவத்கர்
LUT	லுத்
NIRANJANA	நிரஞ்சனா
SHIRIN	ஷிரின்
PILLAYARPATTI	பிள்ளையார்பட்டி
BANIYA	பனிய
BAHADUR JEEVAN	பஹதுர் ஜீவன்
SACHCHA JHUTHA	ஸச்சா ஜூதா
ANANDPUR SAHIB	ஆனந்த்பூர் சாஹிப்
SUN MICROSYSTEMS	சன் மைக்ரோசிஸ்டம்ஸ்
RAEESZADA	ரயீஸ்சதா
DHARUNA	தருணா
APARAAJITAA	அபராஜித்தா
SANDHI	சந்தி
KUMUDINI	குமுதினி
DARBAR	டர்பார்
JAAN-E-BAHAAR	ஜான்-ஏ-பஹார்
KYZYL-KUM	கைஸில்-கும்
SATNA	சட்னா
DOZAKH	தோஸாக்
RAKHAD	ரகத்
PRASANNA	பிரசன்னா
THE MUSEUM OF SCIENCE AND INDUSTRY	த மியூஸியம் ஆஃப் சைன்ஸ் அண்ட் இன்டஸ்டரி
MANIK	மாணிக்
GURUDWARA MAJNU KAA TILA	குருத்வாரா மஜ்னு கா டீலா
BEESVI SADI	பீஸ்வி சாதி
SAUGANDH	சோகாந்த்
SHAUN UDAL	ஷுவான் உடால்
GUMLA	கும்லா
BALARAAM	பலராம்
AVINAASH	அவினாஷ்
KAMRUP	காம்ரப்
VIETNAM	வியட்நாம்
Arnie	அர்னி
DO DISHAYEN	தோ திஷாயென்
ABDUL WAHHAB	அப்துல் வாஹ்ஹப்
PYAASA SAWAN	பியாஸா ஸாவன்
MITTI MEIN SONA	மிட்டி மேன் சோனா
NARRAGANSETT	நராகன்செட்
SHILAVATI	ஷீலாவதி
CHRISTY	கிரிஸ்டி
Cosima	கோசிமா
Indivar	இந்திவர்
MERA DHARAM	மேரா தாராம்
MARK BUTCHER	மார்க் பட்சர்
BELPRE	பெல்ப்ரே
RONIA	ரோனியா
NOVOS	நோவோஸ்
MASHHUD	மஷூத்
COCA-COLA INDIA	கோகா-கோலா இந்தியா
DO MUSAFIR	தோ முசாஃபிர்
FARYADI	ஃபர்யாதி
AAKHRI CHEEKH	ஆக்ரி சீக்
DACAIT	தகயித்
MURAAREE	முராரி
WAVDE	வாவ்தே
CAVALIER	காவாலியர்
CREVAN	க்ரேவன்
PRIESTLEY MEDAL	ப்ரீஸ்ட்லி மெடல்
KANG	காங்
SHAHRUKH	ஷாருக்
Statoil	ஸ்டேடாயில்
ABDUL WAJEED	அப்துல் வாஜீத்
MAPUTO	மபுடோ
RICHARD BLAKEY	ரிச்சர்ட் பிலேகே
THE GOULANDRIS MUSEUM OF NATURAL HISTORY	த கெளலான்டிரிஸ் மியூஸியம் ஆஃப் நேச்சுரல் ஹிஸ்டரி
MANDIR	மன்திர்
ANADYANT	அனாத்யன்ட்
ANHONI	அன்ஹோனி
MARDAV	மார்தவ்
NORAH	நோராஹ்
MIDDLE FAIL	மிடில் ஃப்பெய்ல்
CITYGATE	சிட்டிகேட்
KETAKI	கேடாகி
WARRICK	வாரிக்
BRUCE YARDLEY	புரூஸ் யார்ட்லீ
Puneet	புனீத்
Superagui	சூபராகுயி
BHORE	போர்
NEPTUNIUM	நெப்டூனியம்
VIKRANT	விக்ரந்த்
VIKRANT	விக்ரான்த்
GUDIVADA JUNCTION	குடிவாடா ஜங்ஷன்
Silicon	சிலிக்கான்
BALAGHAT	பாலாகாட்
NEEMUCH	நீமச்
Zada	ஜாடா
BALIKA	பாலிகா
PINEHURST	பைன்ஹர்ஸ்ட்
KARKHANIS	கர்கானிஸ்
JOANNE	ஜோன்னி
MAXIME	மக்ஸைம்
PERI	பெரி
THAMBALAHALLI RESERVOIR	தம்பலஹல்லி ரிசர்வாயர்
ODYSSEY	ஓடிஸ்ஸீ
FORT CUMBERLAND	ஃப்போர்ட் கம்பர்லாண்ட்
SAPRE	சாப்ரே
RASHIDA	ரஷிதா
JALIANWALA BAGH KI JYOTI	ஜாலியன்வாலா பாக் கி ஜோதி
VALA	வலா
SEVITA	செவிதா
